ID,EXPERIMENT_NAME,SAMPLE_NAME,TIME,BIO_REP,TEC_REP,ZETA_POTENTIAL_MV
CH230130,SC,A.obliquus,0,1,1,-19.2
CH230130,SC,A.obliquus,0,1,2,-18.4
CH230130,SC,A.obliquus,0,1,3,-17.1
CH230130,SC,A.obliquus,0,2,1,-16.0
CH230130,SC,A.obliquus,0,2,2,-18.8
CH230130,SC,A.obliquus,0,2,3,-19.8
CH230130,SC,A.obliquus,0,3,1,-15.7
CH230130,SC,A.obliquus,0,3,2,-17.4
CH230130,SC,A.obliquus,0,3,3,-16.4
CH230130,SC,Algaemix,0,1,1,-15.8
CH230130,SC,Algaemix,0,1,2,-20.5
CH230130,SC,Algaemix,0,1,3,-18.9
CH230130,SC,Algaemix,0,2,1,-32.4
CH230130,SC,Algaemix,0,2,2,-29.5
CH230130,SC,Algaemix,0,2,3,-27.9
CH230130,SC,Algaemix,0,3,1,-13.1
CH230130,SC,Algaemix,0,3,2,-15.7
CH230130,SC,Algaemix,0,3,3,-15.7
CH230130,SC,C.reinhardtii,0,1,1,-20.8
CH230130,SC,C.reinhardtii,0,1,2,-21.9
CH230130,SC,C.reinhardtii,0,1,3,-21.1
CH230130,SC,C.reinhardtii,0,2,1,-22.5
CH230130,SC,C.reinhardtii,0,2,2,-21.2
CH230130,SC,C.reinhardtii,0,2,3,-22.4
CH230130,SC,C.reinhardtii,0,3,1,-21.0
CH230130,SC,C.reinhardtii,0,3,2,-22.2
CH230130,SC,C.reinhardtii,0,3,3,-20.5
CH230130,SC,E.texensis,0,1,1,-18.1
CH230130,SC,E.texensis,0,1,2,-20.0
CH230130,SC,E.texensis,0,1,3,-19.7
CH230130,SC,E.texensis,0,2,1,-20.7
CH230130,SC,E.texensis,0,2,2,-18.4
CH230130,SC,E.texensis,0,2,3,-18.5
CH230130,SC,E.texensis,0,3,1,-16.7
CH230130,SC,E.texensis,0,3,2,-18.9
CH230130,SC,E.texensis,0,3,3,-19.5
CH230130,SC,T.albertanoae,0,1,1,-28.1
CH230130,SC,T.albertanoae,0,1,2,-27.4
CH230130,SC,T.albertanoae,0,1,3,-25.0
CH230130,SC,T.albertanoae,0,2,1,-27.2
CH230130,SC,T.albertanoae,0,2,2,-30.5
CH230130,SC,T.albertanoae,0,2,3,-28.5
CH230130,SC,T.albertanoae,0,3,1,-25.0
CH230130,SC,T.albertanoae,0,3,2,-24.8
CH230130,SC,T.albertanoae,0,3,3,-27.7
